cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
X-RAY CHEST PA VIEW,X-Ray - Chest Pa View,Imaging,02 PCC+
ULTRASOUND-NECK,Ultrasound - Neck,Imaging,02 PCC+
ULTRASOUND-MUSCULOSKELETAL,Ultrasound - Musculoskeletal,Imaging,02 PCC+
MRI - HEAD/BRAIN/CRANIAL (PLAIN),MRI - Head/Brain/Cranial (Plain),Imaging,03 Hospital Only
MICRO ALBUMIN/CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
ULTRASOUND-TRANSRECTAL,Ultrasound - Transrectal,Imaging,02 PCC+
CT SCAN - HEAD/BRAIN/CRANIAL (PLAIN),CT Scan - Head/Brain/Cranial (Plain),Imaging,03 Hospital Only
VITAMIN D TOTAL,Vitamin D Total,Uncategorized,02 PCC+
(PT) PROTHROMBINE TIME OR PROTIME,Prothrombin Time (PT),Uncategorized,02 PCC+
CHLORIDE,Chloride (Cl),Uncategorized,02 PCC+
ULTRASOUND-BIOPHYSICAL PROFILE SCORING,Ultrasound - Biophysical Profile Scoring,Imaging,02 PCC+
MAMMOGRAM,Mammogram,Imaging,02 PCC+
FIBROSCAN,Fibroscan,Uncategorized,02 PCC+
DENGUE DUO (DENGUE NS1 AG + IGG/IGM),Dengue Test,Laboratory,01 Clinic+
CT-STONOGRAM,Ct-Stonogram,Imaging,02 PCC+
ULTRASOUND-CONGENITAL ANOMALY SCAN,Ultrasound - Congenital Anomaly Scan,Imaging,02 PCC+
"LIVER FUNCTION TEST (ALT, ALP,TPA/G,TB,B1,B2,GGT)","Liver Function Test (Alt), Alp,Tpa/G,Tb,B1,B2,Ggt",Laboratory,01 Clinic+
VITAMIN B-12,Vitamin B-12,Uncategorized,02 PCC+
MAGNESIUM,Magnesium (Mg),Laboratory,01 Clinic+
THYROID STIMULATING HORMONE (TSH) ECLIA,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
XRAY-CERVICAL SPINE APL,X-Ray - Cervical Spine Apl,Imaging,02 PCC+
CRP HIGH SENSITIVITY,Crp High Sensitivity,Uncategorized,02 PCC+
CREATININE WITH EGFR,Creatinine,Laboratory,01 Clinic+
THYROID STIMULATING HORMONE (TSH (IMMUNORADIOMETRIC ASSAY) (IRMA),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
MRI-SHOULDER UNILATERAL,MRI - Shoulder Unilateral,Imaging,03 Hospital Only
PAP SMEAR,Pap Smear,Gynecology,02 PCC+
MRI - HEAD/BRAIN (WITH CONTRAST),MRI - Head/Brain,Imaging,03 Hospital Only
PET CT SCAN WITH CONTRAST,CT Scan,Imaging,03 Hospital Only
CT SCAN-FDG PET SCAN WITH CONTRAST,CT Scan - Fdg Pet Scan,Imaging,03 Hospital Only
HIV AG/AB,Hiv Ag/Ab,Laboratory,01 Clinic+
XRAY-CHEST PAL,X-Ray - Chest Pal,Imaging,02 PCC+
"CT SCAN-WHOLE ABDOMEN TRIPLE CONTRAST (ORAL, IV, AND RECTAL CONTRAST MEDIUM)","CT Scan - Whole Abdomen Triple Contrast (Oral, Iv, And Rectal Contrast Medium)",Imaging,03 Hospital Only
PHACOEMULSIFICATION WITH IOL PER EYE (NET OF PHIC/FACILITY FEE W/PF),Phacoemulsification Iol Per Eye (Net Of Phic/Facility Fee Pf,Ophthalmology,02 PCC+
TREADMILL STRESS ECHO (TSE),Treadmill Exercise Test,Cardiology,02 PCC+
ANTI-MULLERIAN HORMONES (AMH),Anti-Mullerian Hormones (Amh,Uncategorized,02 PCC+
ACCENTURE-COMPLETE BLOOD COUNT (CBC),Complete Blood Count (CBC),Laboratory,01 Clinic+
(PTT) PARTIAL THROMBOPLASTIN TIME,Partial Thromboplastin Time (PTT),Laboratory,01 Clinic+
CT SCAN-F18 FDG WHOLE BODY PET/CT DIAGNOSTIC,CT Scan - F18 Fdg Whole Body Pet/Ct Diagnostic,Imaging,03 Hospital Only
(HBV-DNA) HEPATITIS B VIRUS DNA TEST,Hbv-Dna) Hepatitis B Virus Dna Test,Laboratory,01 Clinic+
PET/CT WITH CONTRAST,Pet/Ct Contrast,Laboratory,01 Clinic+
FT4 (ECLIA),Free T4 (FT4),Laboratory,01 Clinic+
(ANA) ANTINUCLEAR ANTIBODIES (QUANTI),Ana) Antinuclear Antibodies (Quanti),Uncategorized,02 PCC+
UPCR (URINE PROTEIN CREATININE RATIO),Creatinine,Laboratory,01 Clinic+
PROLACTIN,Prolactin,Uncategorized,02 PCC+
CT SCAN WHOLE ABDOMEN (PLAIN),CT Scan - Whole Abdomen (Plain),Imaging,03 Hospital Only
ANTI-CYCLIC CITRUNILLIDE PEPTIDE (ANTI CCP),Anti-Cyclic Citrunillide Peptide (Anti Ccp,Uncategorized,02 PCC+
(ALP OR ALKPO4) ALKALINE PHOSPHATASE,Alp Or Alkpo4) Alkaline Phosphatase,Uncategorized,02 PCC+
MRI - BRAIN WITH MRA,MRI - Brain,Imaging,03 Hospital Only
DENGUE IGG BLOT,Dengue Test,Laboratory,01 Clinic+
XRAY LUMBOSACRAL APL,X-Ray - Lumbosacral Apl,Imaging,02 PCC+
CALCIUM / TOTAL CALCIUM (SERUM),Calcium (Ca),Laboratory,01 Clinic+
URIC ACID (URINE),Uric Acid,Laboratory,01 Clinic+
TIBC (TOTAL IRON BINDING CAPACITY),Tibc (Total Iron Binding Capacity),Uncategorized,02 PCC+
PERIMETRY/VISUAL FIELD TEST (BOTH EYES),Perimetry/Visual Field Test (Both Eyes),Ophthalmology,02 PCC+
CT SCAN-UROGRAM,CT Scan - Urogram,Imaging,03 Hospital Only
UROFLOWMETRY,Uroflowmetry,Uncategorized,02 PCC+
CAROTID DUPLEX SCAN,Carotid Duplex Scan,Uncategorized,02 PCC+
STRESS ECHOCARDIOGRAPHY,Stress Echocardiography,Cardiology,02 PCC+
"ULTRASOUND - HBT (HEPATOBILIARY TREE) OR LIVER, GALLBLADDER, & BILE DUCTS","Ultrasound - Hbt (Hepatobiliary Tree) Or Liver, Gallbladder, & Bile Ducts",Imaging,02 PCC+
ULTRASOUND-VENOUS DUPLEX SCAN LOWER EXTREMITY (BILATERAL),Ultrasound - Venous Duplex Scan Lower Extremity (Bilateral),Imaging,02 PCC+
"THYROID FUNCTION TEST PROFILE-TRIIODOTHYRONINE THYROXINE AND THYROID STIMULATING HORMONE (T3,T4 AND TSH)",Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
ULTRASOUND-PROSTATE (TRANSRECTAL),Ultrasound - Prostate (Transrectal),Imaging,02 PCC+
"EXTRACORPOREAL SHOCK WAVE LITHOTRIPSY (ESWL) (NET OF PHIC, PF INCLUDED)","Extracorporeal Shock Wave Lithotripsy (Eswl) (Net Of Phic, Pf Included",Urology,03 Hospital Only
MRI/MRA BRAIN W/ CONTRAST,MRI - /Mra Brain,Imaging,03 Hospital Only
(HBSAG) HEPATITIS B SURFACE ANTIGEN SCREENING,HBsAg,Laboratory,01 Clinic+
(ANTI HCV) HEPATITIS C ANTIBODY,Anti Hcv) Hepatitis C Antibody,Laboratory,01 Clinic+
ACCENTURE-SGPT/ALT,SGPT/ALT,Laboratory,01 Clinic+
CT SCAN-BODY PET WITH IV AND ORAL CONTRAST,CT Scan - Body Pet,Imaging,03 Hospital Only
VITAMIN D LEVEL,Vitamin D Level,Uncategorized,02 PCC+
ULTRASOUND BREAST,Ultrasound - Breast,Imaging,02 PCC+
TESTOSTERONE,Testosterone,Laboratory,01 Clinic+
THYROGLOBULIN,Thyroglobulin,Uncategorized,02 PCC+
OGTT 50G 75G 100G,Ogtt 50G 75G 100G,Uncategorized,02 PCC+
25-OH VITAMIN D (CMIA),25-Oh Vitamin D (Cmia,Uncategorized,02 PCC+
BLOOD TYPING ABO AND RH,Blood Typing (ABO/Rh),Laboratory,01 Clinic+
12 LEAD ECG (LONG LEAD 2),Electrocardiogram (ECG),Cardiology,02 PCC+
WHOLE BODY PET CT PLAIN,Whole Body Pet Ct Plain,Uncategorized,02 PCC+
ANTI-HELICOBACTER PYLORI IMMUNOGLOBULIN G (IGG),Anti-Helicobacter Pylori Immunoglobulin G (Igg,Laboratory,01 Clinic+
DIABETIC SCREEN (GLUCOSE & HBA1C),HbA1c,Laboratory,01 Clinic+
MRI - SHOULDER,MRI - Shoulder,Imaging,03 Hospital Only
ANTI THYROGLOBULIN,Anti Thyroglobulin,Uncategorized,02 PCC+
"EXTRACORPOREAL SHOCKWAVE LITHOTRIPSY (NET OF PHIC, PF INCLUDED, PWD AND SC AND PACKAGE DISCOUNT)","Extracorporeal Shockwave Lithotripsy (Net Of Phic, Pf Included, Pwd And Sc And Package Discount",Urology,03 Hospital Only
OCT MACULA BOTH EYES,Oct Macula Both Eyes,Ophthalmology,02 PCC+
HEMOGLOBIN ELECTROPHORESIS,Hemoglobin Electrophoresis,Laboratory,01 Clinic+
RENAL FUNCTION TEST,Renal Function Test,Laboratory,01 Clinic+
DIGITAL MAMMOGRAPHY,Digital Mammography,Uncategorized,02 PCC+
ULTRASOUND-UPPER ABDOMEN,Ultrasound - Upper Abdomen,Imaging,02 PCC+
ANTI-TSH RECEPTOR ANTIBODY(RIA),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
CANCER ANTIGEN 125 (CA-125),Cancer Antigen 125 (Ca-125,Laboratory,01 Clinic+
FT4 RIA,Free T4 (FT4),Laboratory,01 Clinic+
XRAY-PARANASAL SINUSES (PNS) SERIES,X-Ray - Paranasal Sinuses (Pns) Series,Imaging,02 PCC+
ULTRASOUND - BREAST WITH AXILLARY,Ultrasound - Breast,Imaging,02 PCC+
CT SCAN-BRAIN PLAIN,CT Scan - Brain Plain,Imaging,03 Hospital Only
MRI-ANKLE UNILATERAL,MRI - Ankle Unilateral,Imaging,03 Hospital Only
XRAY-KNEE APL 11X14 (UNILATERAL),X-Ray - Knee Apl 11X14 (Unilateral),Imaging,02 PCC+
ULTRASOUND - VENOUS DUPLEX SCAN LOWER EXTREMITY (UNILATERAL),Ultrasound - Venous Duplex Scan Lower Extremity (Unilateral),Imaging,02 PCC+
CYSTATIN C TEST,Cyin C Test,Laboratory,01 Clinic+
DENGUE BLOT TEST,Dengue Test,Laboratory,01 Clinic+
(TRIG) TRIGLYCERIDES,Trig) Triglycerides,Uncategorized,02 PCC+
CT SCAN-CRANIAL,CT Scan - Cranial,Imaging,03 Hospital Only
H-PYLORI IGM,H-Pylori Igm,Laboratory,01 Clinic+
WHOLE BODY PET CT SCAN W/ CONTRAST,CT Scan,Imaging,03 Hospital Only
"ESWL (NET OF PHIC, INCLUSIVE OF FACILITY FEE AND PF )","Eswl (Net Of Phic, Inclusive Of Facility Fee And Pf",Urology,03 Hospital Only
