cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
ARTERIAL UPPER EXTREMITIES,Arterial Upper Extremities,Uncategorized,02 PCC+
FT3-FT4-TSH (RIA),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
ALLERGY PANEL D (20 ALLERGENS),Allergy Panel D (20 Allergens,Laboratory,01 Clinic+
H-PYLORI IGG (QUANTITATIVE),H-Pylori Igg (Quantitative,Laboratory,01 Clinic+
CT SCAN-PARANASAL SINUSES W/ CONTRAST,CT Scan - Paranasal Sinuses,Imaging,03 Hospital Only
RETINA PACKAGE,Retina Package,Laboratory,01 Clinic+
ULTRASOUND - SONOMAMMOGRAM AND MAMMOGRAM (PACKAGE),Ultrasound - Sonomammogram And Mammogram (Package),Imaging,02 PCC+
STONOGRAM CT-SCAN W/ CONTRAST - OVER 100KG,Stonogram Ct-Scan Contrast - Over 100Kg,Imaging,02 PCC+
COMPREHENSIVE LEUKEMIA PANEL,Comprehensive Leukemia Panel,Laboratory,01 Clinic+
XRAY-LEG BILATERAL,X-Ray - Leg Bilateral,Imaging,02 PCC+
MRA-INTRACRANIAL/EXTRACRANIAL VESSEL WITH CONTRAST,Mra-Intracranial/Extracranial Vessel Contrast,Laboratory,01 Clinic+
CT SCAN-ORBIT,CT Scan - Orbit,Imaging,03 Hospital Only
ACCENTURE-SGOT/AST,SGOT/AST,Laboratory,01 Clinic+
PIVKA - II WITH DILUTION,Pivka - Ii Dilution,Uncategorized,02 PCC+
SPECIAL TEST IN-HOUSE_PROTEIN-C,Special Test In-House_Protein-C,Laboratory,01 Clinic+
MRI-FOOT CONTRAST,MRI - Foot Contrast,Imaging,03 Hospital Only
CT SCAN - HEAD AND PARANASAL SINUSES,CT Scan - Head And Paranasal Sinuses,Imaging,03 Hospital Only
"MRI-MRA, HEAD AND NECK, WITH CONTRAST","MRI - Mra, Head And Neck,",Imaging,03 Hospital Only
MAMMOGRAM WITH TOMOSYNTHESIS (3D) (BILATERAL),Mammogram Tomosynthesis (3D) (Bilateral,Imaging,02 PCC+
ULTRASOUND-GUIDED FNAB NECK MASS/LYMPH NODE,Ultrasound - Guided Fnab Neck Mass/Lymph Node,Imaging,02 PCC+
XRAY-SHOULDER OR KNEE BILATERAL,X-Ray - Shoulder Or Knee Bilateral,Imaging,02 PCC+
ANTI-BETA 2 GLYCOPROTEIN IGG,Anti-Beta 2 Glycoprotein Igg,Laboratory,01 Clinic+
XRAY-SPINE - LUMBO SACRAL SERIES,X-Ray - Spine - Lumbo Sacral Series,Imaging,02 PCC+
PANEL D (10 IHC ANTIBODIES) - TISSUE IHC,Panel D (10 Ihc Antibodies) - Tissue Ihc,Laboratory,01 Clinic+
BLEPHEX,Blephex,Uncategorized,02 PCC+
ULTRASOUND-SOFT TISSUE PORTABLE,Ultrasound - Soft Tissue Portable,Imaging,02 PCC+
MRI- HEAD AND ORBITS WITH CONTRAST,MRI - Head And Orbits,Imaging,03 Hospital Only
BASIC GASTROSCOPY PACKAGE,Basic Gastroscopy Package,Laboratory,01 Clinic+
MRI UPPER ABDOMEN WITH PRIMOVIST (DYNAMIC PROTOCOL FOR CONTRAST PROCEDURES),MRI - Upper Abdomen,Imaging,03 Hospital Only
MRI BRAIN PLAIN AND WITH CONTRAST,MRI - Brain Plain And,Imaging,03 Hospital Only
PDL (4-25 PULSES),Pdl (4-25 Pulses,Uncategorized,02 PCC+
CT SCAN-WHOLE BODY BONE SCAN,CT Scan - Whole Body Bone Scan,Imaging,03 Hospital Only
ANTI-HCV RAPID TEST ISRE,Anti-Hcv Rapid Test Isre,Laboratory,01 Clinic+
XRAY-FOOT APL 11X14,X-Ray - Foot Apl 11X14,Imaging,02 PCC+
CLOSTRIDIUM DIFFICILE TEST (STOOL),Clostridium Difficile Test (Stool,Laboratory,01 Clinic+
RANDOM URINE PROTEIN/CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
ANTI DS DNA / /ANTI - DNA (SGD) (DOUBLE STRANDED),Anti Ds Dna / /Anti - Dna (Sgd) (Double Stranded,Uncategorized,02 PCC+
ULTRASOUND-CAROTID/VERTEBRAL DOPPLER SCAN,Ultrasound - Carotid/Vertebral Doppler Scan,Imaging,02 PCC+
MRI WITH MRA,MRI,Imaging,03 Hospital Only
CT SCAN-HEAD WITH CONTRAST,CT Scan - Head,Imaging,03 Hospital Only
TUBEX,Tubex,Uncategorized,02 PCC+
XRAY-CHEST APL (ADULT),X-Ray - Chest Apl (Adult),Imaging,02 PCC+
OPTICAL COHERENCE TOMOGRAPHY MACULA,Optical Coherence Tomography Macula,Uncategorized,02 PCC+
SGOT/AST,SGOT/AST,Laboratory,01 Clinic+
"FLUORESCEIN ANGIOGRAPHY, OU","Fluorescein Angiography, Ou",Uncategorized,02 PCC+
"ULTRASOUND-GALL BLADDER, KIDNEYS, ADRENALS AND URINARY BLADDER WITH PELVIS","Ultrasound - Gall Bladder, Kidneys, Adrenals And Urinary Bladder",Imaging,02 PCC+
CT SCAN - MASTOID PLAIN,CT Scan - Mastoid Plain,Imaging,03 Hospital Only
ARTERIAL VENOUS DUPLEX SCAN OF BILATERAL LOWER EXTREMITIES,Arterial Venous Duplex Scan Of Bilateral Lower Extremities,Uncategorized,02 PCC+
ULTRASOUND GUIDED BIOPSY (GUIDE ONLY),Ultrasound - Guided Biopsy (Guide Only),Imaging,03 Hospital Only
CT AORTOGRAM THORACOABDOMINAL,Ct Aortogram Thoracoabdominal,Uncategorized,02 PCC+
HER 2 NEU-FISH (NKI),Her 2 Neu-Fish (Nki,Uncategorized,02 PCC+
IHC-DMMR,Ihc-Dmmr,Uncategorized,02 PCC+
CULTURE AND SENSITIVITY - WOUND,Culture And Sensitivity - Wound,Laboratory,01 Clinic+
BONE SPECIFIC ALKALINE PHOSPHATASE,Bone Specific Alkaline Phosphatase,Uncategorized,02 PCC+
WHOLE BODY IMAGING 1-131 (5MCI),Whole Body Imaging 1-131 (5Mci,Laboratory,01 Clinic+
"CT CAP (CHEST, ABDOMEN, PELVIS) W/ CONTRAST","Ct Cap (Chest, Abdomen, Pelvis) Contrast",Laboratory,01 Clinic+
SPUTUM GENEXPERT,Sputum Genexpert,Uncategorized,02 PCC+
XRAY-ELBOW BILATERAL,X-Ray - Elbow Bilateral,Imaging,02 PCC+
CT SCAN CHEST PLAIN,CT Scan - Chest Plain,Imaging,03 Hospital Only
B-HCG (HUMAN CHORIONIC GONADOTROPIN) (H-MOLE),B-Hcg (Human Chorionic Gonadotropin) (H-Mole,Uncategorized,02 PCC+
HSCRP (HIGH-SENSITIVITY C-REACTIVE PROTEIN,Hscrp (High-Sensitivity C-Reactive Protein,Laboratory,01 Clinic+
THYROID IMAGING AND UPTAKE (IODINE 131),Thyroid Imaging And Uptake (Iodine 131,Laboratory,01 Clinic+
BREAST IMAGING GUIDED VACCUM A,Breast Imaging Guided Vaccum A,Laboratory,01 Clinic+
ARTERIAL/VENOUS DUPLEX SCAN UPPER EXTREMITIES (UNILATERAL),Arterial/Venous Duplex Scan Upper Extremities (Unilateral,Uncategorized,02 PCC+
MRI - LOWER EXTREMITY,MRI - Lower Extremity,Imaging,03 Hospital Only
UROGYNECOLOGY EXAM (URODYNAMICS EXAM 1 QMAX-PVR-CMG-EMG+PF OUP PACKAGE),Urogynecology Exam (Urodynamics Exam 1 Qmax-Pvr-Cmg-Emg+Pf Oup Package,Gynecology,02 PCC+
EMG-NCV 4 SEGMENT,Emg-Ncv 4 Segment,Uncategorized,02 PCC+
DIAGNOSTIC SLEEP STUDY 4,Diagnostic Sleep Study 4,Laboratory,01 Clinic+
NECK/NASOPHARYNX CT-SCAN W/ CONTRAST - 51 - 100KG,Neck/Nasopharynx Ct-Scan Contrast - 51 - 100Kg,Laboratory,01 Clinic+
CT ANGIO OF CAROTID ARTERIES,Ct Angio Of Carotid Arteries,Uncategorized,02 PCC+
ANTINUCLEAR ANTIBODIES (ANA) IMMUNOFLUORESCENCE,Antinuclear Antibodies (Ana) Immunofluorescence,Uncategorized,02 PCC+
"LOWER EXTREMITY, VENOUS DUPLEX STUDY","Lower Extremity, Venous Duplex Study",Uncategorized,02 PCC+
MYCOBACTERIUM CULTURE (USTH),Mycobacterium Culture (Usth,Laboratory,01 Clinic+
XRAY-PARANASAL SINUSES (3 VIEWS),X-Ray - Paranasal Sinuses (3 Views),Imaging,02 PCC+
LOWER EXTREMITY ARTERIAL DUPLEX SCAN/ULTRASOUND BI,Ultrasound - Bi,Imaging,02 PCC+
MRI BREAST WITH CONTRAST,MRI - Breast,Imaging,03 Hospital Only
"COLONOSCOPY (RUV 45378)_HOSP. BILL + PROFESSIONAL FEES, NET OF PHIC","Colonoscopy (Ruv 45378)_Hosp. Bill + Professional Fees, Net Of Phic",Uncategorized,03 Hospital Only
ANTI-MITOCHONDRIAL ANTIBODY TEST,Anti-Mitochondrial Antibody Test,Laboratory,01 Clinic+
TB IGRA (INTERFERON GAMMA RELEASE ASSAY),Tb Igra (Interferon Gamma Release Assay,Uncategorized,02 PCC+
DISC COLOR PHOTO/EYE,Disc Color Photo/Eye,Ophthalmology,02 PCC+
ROUTINE HISTOPATH-SMALL,Histopath-Small,Uncategorized,02 PCC+
"FASTING PANEL ((BUN, AST, CHOLESTEROL, CREATININE, URIC ACID, HDL, LDL, TRIG AND SBS)",Blood Urea Nitrogen (BUN),Laboratory,01 Clinic+
MRA-HEAD AND INTRACRANIAL WITH CONTRAST,Mra-Head And Intracranial Contrast,Laboratory,01 Clinic+
XRAY-ABDOMEN LATERAL DECUBITUS,X-Ray - Abdomen Lateral Decubitus,Imaging,02 PCC+
ECHOCARDIOGRAPHY (PEDIA),Echocardiography (Pedia,Cardiology,02 PCC+
H PYLORI STOOL,H Pylori Stool,Uncategorized,02 PCC+
SPIROMETRY WITH PRE AND POST BRONCHODILATOR,Spirometry Pre And Post Bronchodilator,Uncategorized,02 PCC+
ROUTINE CULTURE W/ GRAM STAIN,Culture Gram Stain,Laboratory,01 Clinic+
E-GFR (>/=19 Y/O),E-Gfr (>/=19 Y/O,Uncategorized,02 PCC+
ER/PR (ESTROGEN RECEPTOR / PROGESTERONE RECEPTOR ASSAY),Er/Pr (Estrogen Receptor / Progesterone Receptor Assay,Uncategorized,02 PCC+
KNEE PLAIN,Knee Plain,Uncategorized,02 PCC+
CT SCAN-WHOLE ABDOMEN ORAL AND IV CONTRAST,CT Scan - Whole Abdomen Oral And Iv Contrast,Imaging,03 Hospital Only
"ULTRASOUND-LIVER, GALL BLADDER, PANCREAS, SPLEEN AND URINARY BLADDER WITH PELVIS","Ultrasound - Liver, Gall Bladder, Pancreas, Spleen And Urinary Bladder",Imaging,02 PCC+
THALLIUM 201 IMAGING WITH DIPYRIDAMOLE STRESS AND GATED SPECT IMAGING,Thallium 201 Imaging Dipyridamole Stress And Gated Spect Imaging,Laboratory,01 Clinic+
BILATERAL SONOMAMMOGRAPHY,Bilateral Sonomammography,Uncategorized,02 PCC+
SESTAMIBI GATED MCARDL PERFORMING (DIPYRIDAMOLE),Sestamibi Gated Mcardl Performing (Dipyridamole,Uncategorized,02 PCC+
CT SCAN-THORACO LUMBAR SPINE,CT Scan - Thoraco Lumbar Spine,Imaging,03 Hospital Only
SGPT (SERUM GLUTAMIC-PYRUVIC TRANSAMINASE),SGPT/ALT,Laboratory,01 Clinic+
ULTRASOUND-SPLEEN,Ultrasound - Spleen,Imaging,02 PCC+
PURE TONE AUDIOMETRY W/ SPEECH TEST,Pure Tone Audiometry Speech Test,Laboratory,01 Clinic+
POLYSOMNOGRAPY/DIAGNOSTIC,Polysomnograpy/Diagnostic,Laboratory,01 Clinic+
ULTRASOUND - MSK SHOULDER,Ultrasound - Msk Shoulder,Imaging,02 PCC+
MRI PLAIN RIGHT KNEE,MRI - Plain Right Knee,Imaging,03 Hospital Only
TI-201 DIPYRIDAMOLE INFUSION/REDISTRIBUTION MPI,Ti-201 Dipyridamole Infusion/Redistribution Mpi,Uncategorized,02 PCC+
48 HOURS HOLTER MONITORING,48 Hours Holter Monitoring,Cardiology,02 PCC+
SLEEP DIAGNOSTIC TEST PACKAGE,Sleep Diagnostic Test Package,Laboratory,01 Clinic+
ULTRASOUND - TVS WITH DOPPLER,Ultrasound - Tvs,Imaging,02 PCC+
CT SCAN - ELBOW,CT Scan - Elbow,Imaging,03 Hospital Only
ULTRASOUND- TRANSVAGINAL/TRANSRECTAL~UZGN,Ultrasound - Transvaginal/Transrectal~Uzgn,Imaging,02 PCC+
COLONOSCOPY (EMSC),Colonoscopy (Emsc,Uncategorized,03 Hospital Only
REST/DOBUTAMINE INFUSION MPI,Rest/Dobutamine Infusion Mpi,Uncategorized,02 PCC+
ANTI-SMITH/ANTI-RNP (RIBONUCLEOPROTEIN),Anti-Smith/Anti-Rnp (Ribonucleoprotein,Laboratory,01 Clinic+
ARTERIAL/VENOUS DUPLEX SCAN LOWER EXTREMITIES (UNILATERAL),Arterial/Venous Duplex Scan Lower Extremities (Unilateral,Uncategorized,02 PCC+
ARTERIAL AND VENOUS DUPLEX SCAN UPPER EXTREMITY,Arterial And Venous Duplex Scan Upper Extremity,Uncategorized,02 PCC+
ALLERGY PANEL TEST (PANEL A),Allergy Panel Test (Panel A,Laboratory,01 Clinic+
CHEM 10(CHEM 8+SGOT+SGPT),SGPT/ALT,Laboratory,01 Clinic+
CT SCAN- CHEST AND WHOLE ABDOMEN W/ CONTRAST PACKAGE WITH PF,CT Scan - Chest And Whole Abdomen,Imaging,03 Hospital Only
HISTOPATH-ONE MEDIUM SPECIMEN,Histopath-One Medium Specimen,Uncategorized,02 PCC+
PHYSICAL THERAPY USE OF FINGER LADDER,Physical Therapy Use Of Finger Ladder,Physical Therapy,02 PCC+
SPECIAL TEST IN-HOUSE_BETA 2 GLYCOPROTEIN IGG,Special Test In-House_Beta 2 Glycoprotein Igg,Laboratory,01 Clinic+
XRAY-KNEE JOINT W/ SKYLINEVIEW UNILATERAL,X-Ray - Knee Joint,Imaging,02 PCC+
URINE OSMOLALITY,Urine Osmolality,Laboratory,01 Clinic+
MRI- LUMBAR SPINE W/ CONTRAST,MRI - Lumbar Spine,Imaging,03 Hospital Only
CT SCAN - EXTREMITY PLAIN,CT Scan - Extremity Plain,Imaging,03 Hospital Only
CT SCAN ABDOMINAL AORTA (ANGIOGRAM) WITH CONTRAST,CT Scan - Abdominal Aorta (Angiogram),Imaging,03 Hospital Only
CT SCAN-PELVIC BONE PLAIN,CT Scan - Pelvic Bone Plain,Imaging,03 Hospital Only
"XRAY-HAND AP, LAT, & OBLIQUE (BILATERAL)","X-Ray - Hand Ap, Lat, & Oblique (Bilateral)",Imaging,02 PCC+
"CT SCAN-WHOLE ABDOMEN WITH ORAL, IV AND RECTAL CONTRAST",CT Scan - Whole Abdomen,Imaging,03 Hospital Only
MRI- MR ENTEROGRAPHY W/ CONTRAST,MRI - Mr Enterography,Imaging,03 Hospital Only
NUC-ISO WHOLE BODY SCAN I-131 SCAN,Nuc-Iso Whole Body Scan I-131 Scan,Uncategorized,02 PCC+
MRI-CARDIAC,MRI - Cardiac,Imaging,03 Hospital Only
ULTRASOUND-COLOR DOPPLER STUDY OF A MASS,Ultrasound - Color Doppler Study Of A Mass,Imaging,02 PCC+
HEMODIAFILTRATION BED AV FISTULA/GRAFT,Hemodiafiltration Bed Av Fistula/Graft,Uncategorized,02 PCC+
EMG-NCV UPPER LIMBS W/ CERVICAL PARASPINAL MUSCLE,Emg-Ncv Upper Limbs Cervical Paraspinal Muscle,Uncategorized,02 PCC+
COVID-19 RT-PCR SWAB TEST,RT-PCR,Laboratory,01 Clinic+
DIPYRIDAMOLE SESTAMIBI,Dipyridamole Sestamibi,Uncategorized,02 PCC+
CORTISOL ASSAY,Cortisol Assay,Uncategorized,02 PCC+
HEAD (CRANIAL) PLAIN TRAUMA,Head (Cranial) Plain Trauma,Uncategorized,02 PCC+
XRAY-KNEE SUNRISE VIEW - BILATERAL,X-Ray - Knee Sunrise View - Bilateral,Imaging,02 PCC+
MRI LEG PLAIN,MRI - Leg Plain,Imaging,03 Hospital Only
VERTIGO TEST (VNG),Vertigo Test (Vng,Laboratory,01 Clinic+
CPN - CAROTID DUPLEX SCAN (NEW),Cpn - Carotid Duplex Scan (New,Uncategorized,02 PCC+
ALLERGY TESTING - SPECIFIC IGE,Allergy Testing - Specific Ige,Laboratory,01 Clinic+
"POLYP, COLORECTAL","Polyp, Colorectal",Uncategorized,02 PCC+
ROUTINE EMG-NCV WITH SPECIAL NERVE STUDY,Emg-Ncv Special Nerve Study,Uncategorized,02 PCC+
ULTRASOUND-PANCREAS,Ultrasound - Pancreas,Imaging,02 PCC+
XRAY-THORACIC CAGE AP,X-Ray - Thoracic Cage Ap,Imaging,02 PCC+
H PYLORI IGG,H Pylori Igg,Laboratory,01 Clinic+
MRI-SPINE SURVEY,MRI - Spine Survey,Imaging,03 Hospital Only
ULTRASOUND-MUSKULOSKELETAL SHOULDER UNILATERAL,Ultrasound - Muskuloskeletal Shoulder Unilateral,Imaging,02 PCC+
LDH - LACTIC DEHYDROGENASE,Ldh - Lactic Dehydrogenase,Uncategorized,02 PCC+
FT3 (EIA),Free T3 (FT3),Uncategorized,02 PCC+
SESTAMIBI MYOCARDIAL PERFUSION IMAGING,Sestamibi Myocardial Perfusion Imaging,Laboratory,01 Clinic+
OCT-NFL (OS/OD),Oct-Nfl (Os/Od,Uncategorized,02 PCC+
SEX HORMONE BINDING GLOBULIN (SHBG),Sex Hormone Binding Globulin (Shbg,Uncategorized,02 PCC+
24-HR URINE SODIUM,Sodium (Na),Laboratory,01 Clinic+
CT - WHOLE ABDOMEN CONTRAST STAT,Ct - Whole Abdomen Contrast,Laboratory,01 Clinic+
LAB-CC-HBA1C,HbA1c,Laboratory,01 Clinic+
MRI - CERVICAL SPINE WITH SPINE SURVEY,MRI - Cervical Spine,Imaging,03 Hospital Only
PROLACTIN (ECLIA),Prolactin,Uncategorized,02 PCC+
MRI - WRIST WITH CONTRAST,MRI - Wrist,Imaging,03 Hospital Only
DIAGNOSTIC 4,Diagnostic 4,Laboratory,01 Clinic+
ARTERIAL VENOUS DUPLEX SCAN BOTH LOWER EXTREMITIES,Arterial Venous Duplex Scan Both Lower Extremities,Uncategorized,02 PCC+
HISTOPATH,Histopath,Uncategorized,02 PCC+
CORNEAL TOPOGRAPHY WITH INTERPRETATION BOTH EYES (PENTACAM),Syphilis Test (VDRL/RPR),Ophthalmology,02 PCC+
COMPLETE BLOOD CHEMISTRY,Complete Blood Chemistry,Laboratory,01 Clinic+
"CT SCAN-ABDOMEN, WHOLE~CTPN","CT Scan - Abdomen, Whole~Ctpn",Imaging,03 Hospital Only
ANTI HEPATITIS A VIRUS (HAV) - IMMUNOGLOBULIN M (IGM),Anti Hepatitis A Virus (Hav) - Immunoglobulin M (Igm,Laboratory,01 Clinic+
HLA-B27,Hla-B27,Uncategorized,02 PCC+
MRI - KNEE NON ENHANCED,MRI - Knee Non Enhanced,Imaging,03 Hospital Only
"MUSCULOSKELETAL ULTRASOUND-SHOULDER, UNILATERAL","Ultrasound - Shoulder, Unilateral",Imaging,02 PCC+
CT SCAN-SHOULDER (UNILATERAL),CT Scan - Shoulder (Unilateral),Imaging,03 Hospital Only
JAK2 MUTATION PCR,Jak2 Mutation Pcr,Uncategorized,02 PCC+
VISUAL FIELD TEST (HUMPHREY FIELD ANALYSIS) BOTH EYES,Visual Field Test (Humphrey Field Analysis) Both Eyes,Ophthalmology,02 PCC+
C3,C3,Uncategorized,02 PCC+
CULTURE AND SENSITIVITY-SPUTUM,Culture And Sensitivity-Sputum,Laboratory,01 Clinic+
ANTI-TSH RECEPTOR ANTIBODIES (ANTI-TRAB),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
XRAY-ELBOW (UNILATERAL),X-Ray - Elbow (Unilateral),Imaging,02 PCC+
TRANSRECTAL ULTRASOUND,Ultrasound,Imaging,02 PCC+
CT ANGIOGRAPHY - CARDIAC-CORONARY,Ct Angiography - Cardiac-Coronary,Uncategorized,02 PCC+
CT PULMONARY ANGIOGRAM,Ct Pulmonary Angiogram,Uncategorized,02 PCC+
MYOCARDIAL PERFUSION IMAGING- SESTAMIBI TREADMILL REST/STRESS,Treadmill Exercise Test,Cardiology,02 PCC+
CT SCAN - STONOGRAM~CTPN,CT Scan - Stonogram~Ctpn,Imaging,03 Hospital Only
CLOTTING TIME,Clotting Time,Uncategorized,02 PCC+
FOLLICLE STIMULATING HORMONE (FSH),Follicle Stimulating Hormone (Fsh,Uncategorized,02 PCC+
PERIPHERAL ARTERIAL DUPLEX SCAN - UNILATERAL,Peripheral Arterial Duplex Scan - Unilateral,Uncategorized,02 PCC+
MRI-HIP PLAIN,MRI - Hip Plain,Imaging,03 Hospital Only
TOTAL CHOLESTEROL,Total Cholesterol,Laboratory,01 Clinic+
CT SCAN - HEAD OR CRANIAL PLAIN AND CONTRAST,CT Scan - Head Or Cranial Plain And Contrast,Imaging,03 Hospital Only
HLA-B27 (PCR,Hla-B27 (Pcr,Uncategorized,02 PCC+
MRI- CERVICAL/THORACIC/LUMBAR~MRCT,MRI - Cervical/Thoracic/Lumbar~Mrct,Imaging,03 Hospital Only
MRI - ELBOW OR WRIST,MRI - Elbow Or Wrist,Imaging,03 Hospital Only
ANTI HISTONE,Anti Histone,Uncategorized,02 PCC+
MRI - IAC (INTERNAL ACOUSTIC CANAL) WITH CISSD,MRI - Iac (Internal Acoustic Canal),Imaging,03 Hospital Only
MRI- MRA HEAD~MRPN,MRI - Mra Head~Mrpn,Imaging,03 Hospital Only
ER (ESTROGEN RECEPTOR),Er (Estrogen Receptor,Uncategorized,02 PCC+
CT SCAN WHOLE ABDOMEN (TRI-PHASE),CT Scan - Whole Abdomen (Tri-Phase),Imaging,03 Hospital Only
NUC-ISO SESTAMIBI PHARMACOLOGIC S/R,Nuc-Iso Sestamibi Pharmacologic S/R,Uncategorized,02 PCC+
ONE MEDIUM TISSUE/ORGAN,One Medium Tissue/Organ,Uncategorized,02 PCC+
"CHEM 10 (FBS, TC, TG, HDL, LDL, BUN, CREA, BUA, SGPT, SGOT)",SGPT/ALT,Laboratory,01 Clinic+
ULTRASOUND - WHOLE ABDOMEN WITH APPENDIX,Ultrasound - Whole Abdomen,Imaging,02 PCC+
MRI-HAND BILATERAL,MRI - Hand Bilateral,Imaging,03 Hospital Only
OPTIC NERVE EXAMINATION,Optic Nerve Examination,Uncategorized,02 PCC+
MRI - UPPER ABDOMEN W/ PRIMOVIST W/ CONTRAST,MRI - Upper Abdomen,Imaging,03 Hospital Only
FUNDUS PHOTO OPTIC DISC,Fundus Photo Optic Disc,Uncategorized,02 PCC+
HISTOPATH - GASTRIC BIOPSY,Histopath - Gastric Biopsy,Laboratory,03 Hospital Only
PLAIN HEAD & MRA~MRPN,Plain Head & Mra,Uncategorized,02 PCC+
COLON BIOPSY,Colon Biopsy,Uncategorized,03 Hospital Only
HIGH SENSITIVE CRP (HSCRP),High Sensitive Crp (Hscrp,Uncategorized,02 PCC+
CT SCAN - LOWER ABDOMEN CONTRAST,CT Scan - Lower Abdomen Contrast,Imaging,03 Hospital Only
MRI KNEE BILATERAL,MRI - Knee Bilateral,Imaging,03 Hospital Only
(GFR) GLOMERULAR FILTRATION RATE,Gfr) Glomerular Filtration Rate,Uncategorized,02 PCC+
CT SCAN - PELVIS,CT Scan - Pelvis,Imaging,03 Hospital Only
ARTERIAL DUPLEX EXAM (BOTH UPPER EXTREMITIES),Arterial Duplex Exam (Both Upper Extremities,Uncategorized,02 PCC+
CT SCAN-WHOLE ABDOMEN W/ IV CONTRAST ONLY,CT Scan - Whole Abdomen,Imaging,03 Hospital Only
XRAY-CHEST (PEDIA),X-Ray - Chest (Pedia),Imaging,02 PCC+
OCT ( OPTICAL COHERENCE TOMOGRAPHY )-MACULA AND OPTIC NERVE (BOTH EYES),Oct ( Optical Coherence Tomography )-Macula And Optic Nerve (Both Eyes,Ophthalmology,02 PCC+
MPI-SESTAMIBI/DIPYRIDAMOLE,Mpi-Sestamibi/Dipyridamole,Uncategorized,02 PCC+
CULTURE AND SENSITIVITY - BODY FLUIDS,Culture And Sensitivity - Body Fluids,Laboratory,01 Clinic+
CT ANGIO OF BRAIN,Ct Angio Of Brain,Uncategorized,02 PCC+
FISH BCR-ABL QRT-PCR (SEND-OUT),RT-PCR,Uncategorized,02 PCC+
RESPIRATORY ALLERGEN PANEL,Respiratory Allergen Panel,Laboratory,01 Clinic+
OCT OF MACULA/OPTIC NERVE TWO EYES,Oct Of Macula/Optic Nerve Two Eyes,Ophthalmology,02 PCC+
JAK 2 MUTATION DETERMINATION,Jak 2 Mutation Determination,Uncategorized,02 PCC+
THYROID SCAN I-131,Thyroid Scan I-131,Laboratory,01 Clinic+
FT4,Free T4 (FT4),Laboratory,01 Clinic+
TREADMILL,Treadmill Exercise Test,Cardiology,02 PCC+
REPEAT EXTRACORPOREAL SHOCK WAVE LITHOTRIPSY (ESWL) (GROSS OF PHIC/PF INCLUDED),Repeat Extracorporeal Shock Wave Lithotripsy (Eswl) (Gross Of Phic/Pf Included,Urology,03 Hospital Only
"VENOUS DUPLEX SCAN, BILATERAL LOWER/UPPER EXTREMIT","Venous Duplex Scan, Bilateral Lower/Upper Extremit",Uncategorized,02 PCC+
CT SCAN-KIDNEYS/ADRENAL WITH CONTRAST,CT Scan - Kidneys/Adrenal,Imaging,03 Hospital Only
MRI-LOWER ABDOMEN WITH CONTRAST,MRI - Lower Abdomen,Imaging,03 Hospital Only
CT SCAN-UPPER ABDOMEN PLAIN W/ CONTRAST,CT Scan - Upper Abdomen Plain,Imaging,03 Hospital Only
XRAY - ANKLE APL OR MORTISE,X-Ray - Ankle Apl Or Mortise,Imaging,02 PCC+
KUB ULTRASOUND AND PROSTATE,Ultrasound - And Prostate,Imaging,02 PCC+
FREE THROXINE/THYROID-STIMULATING HORMONE (FT4/TSH),Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
"TYPHIDOT IGG, IGM","Typhidot Igg, Igm",Laboratory,01 Clinic+
PERIPHERAL VENOUS DUPLEX SCAN-BOTH LOWER EXTREMITIES,Peripheral Venous Duplex Scan-Both Lower Extremities,Uncategorized,02 PCC+
ULTRASOUND-B-SCAN (BOTH EYES),Ultrasound - B-Scan (Both Eyes),Imaging,02 PCC+
XRAY-ANKLE UNILATERAL,X-Ray - Ankle Unilateral,Imaging,02 PCC+
CT SCAN-VERTEBRA/SPINE,CT Scan - Vertebra/Spine,Imaging,03 Hospital Only
DIRECT FUNDOSCOPY / RETINA EXAM,Direct Fundoscopy / Retina Exam,Uncategorized,02 PCC+
OCT - MACULA (BOTH EYES) W/ READER'''''''''''''''',Oct - Macula (Both Eyes) Reader'''''''''''''''',Ophthalmology,02 PCC+
SERUM ALDOSTERONE,Serum Aldosterone,Laboratory,01 Clinic+
CT SCAN-CRANIO FACIAL,CT Scan - Cranio Facial,Imaging,03 Hospital Only
CYTOGENETICS-SO,Cytogenetics-So,Uncategorized,02 PCC+
OPD MYOCARDIAL PERFUSION STUDY (MPS) DIPYRIDAMOLE/,Opd Myocardial Perfusion Study (Mps) Dipyridamole,Uncategorized,02 PCC+
MRI-LOWER ABDOMEN + FISTULA,MRI - Lower Abdomen + Fistula,Imaging,03 Hospital Only
ANCA (A-NEUTROPHIL CYTOPLASMIC ABS),Anca (A-Neutrophil Cytoplasmic Abs,Uncategorized,02 PCC+
SPEECH AUDIOMETRY,Speech Audiometry,Uncategorized,02 PCC+
ELECTROMYOGRAPHY UPPER AND LOWER EXTREMITIES (EMG UE & LE),Electromyography Upper And Lower Extremities (Emg Ue & Le,Uncategorized,02 PCC+
